time(s),lattitude,longitude,altitude,rssi,remote-rssi
1731676205,55.369014,10.4311223,56.10332690116537,-73.3,-83.8
1731676206,55.3690275,10.4311187,56.08631613958906,-72.8,-83.8
1731676206,55.3690368,10.4311155,56.16930994707451,-71.7,-83.8
1731676207,55.3690478,10.4311144,56.096298067194695,-74.9,-83.8
1731676215,55.3691728,10.4311032,56.157160826685356,-73.3,-85.4
1731676218,55.3692037,10.4310995,56.07812847058658,-81.7,-87.5
1731676225,55.3693323,10.4310848,55.945992581436045,-76.5,-89.1
1731676226,55.3693422,10.4310839,56.087981724358876,-74.9,-89.6
1731676228,55.3693642,10.4310799,56.09496098920984,-70.7,-90.2
1731676230,55.3694076,10.431077,56.08791161079636,-74.4,-88.6
1731676232,55.369429,10.4310734,56.08989094167883,-76.5,-88.6
1731676236,55.3694913,10.4310619,56.202832488358396,-77.0,-93.8
1731676236,55.3695039,10.4310604,56.200819263187974,-75.9,-93.8
1731676241,55.3695661,10.4310554,56.193749887034784,-75.9,-92.3
1731676244,55.3696234,10.431043,56.127699185348774,-78.1,-91.2
1731676247,55.3696769,10.4310317,56.08265136254646,-79.6,-92.3
1731676256,55.3698094,10.4310137,56.25451592753105,-85.9,-96.5
1731676266,55.3699648,10.4309935,56.00135544469092,-89.6,-127.0
1731676269,55.37002,10.4309869,55.945297438372236,-84.9,-127.0
1731676279,55.3701721,10.4309796,55.78511906664174,-94.4,-127.0
1731676287,55.3702394,10.4309727,54.51804633798538,-85.4,-92.8
1731676297,55.3701929,10.4309526,55.28113878831284,-84.9,-94.9
1731676302,55.3701023,10.4309535,55.186250907715134,-76.5,-127.0
1731676311,55.3699755,10.4309595,56.43139972213797,-83.8,-95.9
1731676319,55.3698425,10.4309713,56.38954639527768,-86.5,-97.0
1731676322,55.3697861,10.4309818,56.600599245376245,-86.5,-102.3
1731676326,55.3697301,10.4309911,56.64865361709845,-87.5,-101.2
1731676327,55.3697073,10.4309927,56.62067946005482,-84.9,-101.2
1731676330,55.3696529,10.4309987,56.5667374085237,-79.1,-98.6
1731676332,55.3696319,10.4310045,56.545753864093996,-80.2,-98.6
1731676332,55.3696241,10.4310056,56.67076176446042,-84.9,-92.3
1731676335,55.3695875,10.4310089,56.247801990336285,-79.1,-90.7
1731676336,55.3695777,10.4310095,56.05581324140471,-81.2,-90.7
1731676336,55.3695698,10.4310117,55.982819398857075,-80.7,-91.7
1731676339,55.3695498,10.4310158,56.12683747959091,-81.2,-92.8
1731676342,55.3694979,10.4310199,56.109895486268584,-75.9,-91.7
1731676348,55.369419,10.4310269,56.25598234632393,-84.9,-92.8
1731676353,55.369344,10.4310396,56.0230546308189,-77.5,-90.7
1731676353,55.3693251,10.4310424,56.009073522059566,-76.5,-90.7
1731676358,55.3692599,10.4310582,56.22612826227591,-80.2,-89.6
1731676362,55.3692107,10.4310674,55.88217417663988,-73.8,-91.7
1731676365,55.369138,10.4310864,56.69623283224304,-74.4,-87.0
1731676394,55.3686911,10.4311558,58.439673315108074,-73.3,-87.0
1731676401,55.3685825,10.4312029,58.604728939151045,-73.8,-87.0
1731676415,55.3683415,10.4312489,57.34695147320814,-73.8,-84.9
1731676419,55.3682902,10.4312561,56.475003206896986,-70.7,-82.8
1731676424,55.3682005,10.4312628,54.50610362791269,-68.1,-79.1
1731676441,55.3679111,10.4313011,51.80139908339035,-55.4,-67.0
1731676453,55.3677481,10.4313311,54.91955104199253,-32.8,-47.5
