time(s),lattitude,longitude,altitude
1731065653,55.3676179,10.4313886,80.00961546307059
1731065653,55.3676201,10.4313881,78.96161357531525
1731065653,55.3676231,10.4313858,77.92161374552384
1731065654,55.3676246,10.431385,79.0276132370108
1731065654,55.3676257,10.4313856,78.1406108514962
1731065654,55.3676272,10.4313858,77.4516086469556
1731065654,55.3676283,10.431385,77.2126086358441
1731065654,55.3676315,10.4313818,77.56161008364661
1731065655,55.3676343,10.4313787,80.19261185924138
1731065655,55.3676363,10.4313766,79.75861293367318
1731065655,55.3676382,10.431378,80.18860819641455
1731065655,55.3676404,10.4313817,80.78259918521869
1731065655,55.3676435,10.4313802,81.61959787400454
1731065656,55.3676458,10.4313812,82.4015933176243
1731065656,55.367648,10.4313838,83.81958617195178
1731065656,55.3676501,10.4313841,84.45658305146495
1731065656,55.3676517,10.4313872,83.80557580392762
1731065656,55.367654,10.4313851,83.92157650512567
1731065657,55.3676557,10.4313867,82.59757167722309
1731065657,55.3676583,10.4313855,83.26057047885172
1731065657,55.3676605,10.4313832,82.27957164356468
1731065657,55.3676636,10.4313806,83.51557219771851
1731065657,55.3676657,10.4313813,83.14456839867877
1731065658,55.3676681,10.4313796,82.61456829696182
1731065658,55.3676708,10.431379,82.79856595646675
1731065658,55.3676742,10.4313775,81.31856427173156
1731065658,55.3676769,10.4313765,81.38956260957892
1731065658,55.3676799,10.4313749,82.05456159187679
1731065659,55.367682,10.4313738,82.1155608455427
1731065659,55.3676852,10.4313717,82.19956042702998
1731065659,55.3676869,10.4313705,82.12956034778045
1731065659,55.3676891,10.4313694,82.28155947700346
1731065659,55.3676915,10.4313695,82.16855632220405
1731065660,55.367694,10.4313685,81.68955490862808
1731065660,55.3676963,10.4313677,81.60155340459167
1731065660,55.3676986,10.431368,81.41155003489843
1731065660,55.3677013,10.4313668,81.17154871167921
1731065660,55.3677042,10.4313646,81.43454883568427
1731065661,55.3677063,10.4313638,81.52854758033044
1731065661,55.3677083,10.4313628,81.52154678855572
1731065661,55.3677108,10.4313609,81.42954690123543
1731065661,55.367713,10.4313594,81.38354670865466
1731065661,55.3677153,10.4313585,81.25754537404102
1731065662,55.3677173,10.4313585,81.37554288615917
1731065662,55.3677192,10.4313583,81.23554086186198
1731065662,55.3677218,10.4313569,81.32654000201694
1731065662,55.3677231,10.4313572,81.646537876049
1731065662,55.3677252,10.4313562,81.6495369597379
1731065663,55.3677273,10.4313561,81.91053451697607
1731065663,55.3677284,10.4313558,81.95653365739756
1731065663,55.3677289,10.431358,82.61852930411717
1731065663,55.3677304,10.4313566,82.64452981257263
1731065663,55.3677313,10.4313541,82.5875329330637
1731065664,55.3677321,10.4313516,82.62553617794933
1731065664,55.3677338,10.4313463,82.10454305211181
1731065664,55.367735,10.4313436,82.02654613857959
1731065664,55.3677369,10.4313392,81.99355123747236
1731065664,55.3677377,10.4313357,82.27855617834811
1731065665,55.367739,10.4313303,82.50756371964444
1731065665,55.3677397,10.4313271,82.21456827609265
1731065665,55.3677402,10.4313235,82.69457375974602
1731065665,55.3677413,10.4313177,82.72458222820333
1731065665,55.3677409,10.4313146,82.66658798345364
1731065666,55.3677415,10.4313099,82.91359520828092
1731065666,55.3677424,10.4313036,82.66460477348983
1731065666,55.3677427,10.4312997,82.19861101468852
1731065666,55.3677422,10.4312971,81.80961604630056
1731065666,55.3677436,10.431289,83.12762804222648
1731065667,55.3677434,10.4312855,82.29963422700133
1731065667,55.3677434,10.4312802,82.18364321573702
1731065667,55.3677441,10.4312738,82.13565319921568
1731065667,55.3677437,10.4312712,82.02065810637257
1731065667,55.3677436,10.4312658,81.80766738904995
1731065668,55.3677441,10.4312625,81.89367236375458
1731065668,55.3677437,10.4312589,82.33167896685674
1731065668,55.3677444,10.4312533,83.6126875934653
1731065668,55.3677451,10.4312505,83.13669147135576
1731065668,55.367745,10.4312469,82.66269770122183
1731065669,55.3677451,10.4312412,82.51270724378574
1731065669,55.3677443,10.4312385,80.62771281807282
1731065669,55.3677439,10.4312327,81.12572315219543
1731065669,55.3677437,10.4312274,81.39173238951702
1731065669,55.3677441,10.4312231,80.58273918447574
